classifier,regressor,stint_accuracy,stint1_compound_accuracy,stint2_compound_accuracy,stint3_compound_accuracy,stint1_length_mae,stint2_length_mae,stint3_length_mae
RandomForest,RandomForest,0.8571428571428571,0.7338935574229691,0.7282913165266106,0.6275862068965518,5.49859943977591,6.137254901960785,5.675862068965517
RandomForest,XGBoost,0.8571428571428571,0.7338935574229691,0.7366946778711485,0.6275862068965518,5.280112044817927,6.182072829131653,5.655172413793103
RandomForest,CatBoost,0.8571428571428571,0.7338935574229691,0.7310924369747899,0.6206896551724138,5.291316526610644,6.1988795518207285,5.56551724137931
RandomForest,SVM,0.8571428571428571,0.7338935574229691,0.7366946778711485,0.6206896551724138,5.417366946778712,6.675070028011205,5.910344827586207
RandomForest,Linear,0.8571428571428571,0.7338935574229691,0.742296918767507,0.6206896551724138,6.081232492997199,7.53781512605042,6.462068965517242
RandomForest,Ridge,0.8571428571428571,0.7338935574229691,0.742296918767507,0.6344827586206897,6.0,7.495798319327731,6.441379310344828
RandomForest,GradientBoosting,0.8571428571428571,0.7338935574229691,0.7338935574229691,0.6413793103448275,5.2296918767507,6.288515406162465,5.43448275862069
RandomForest,KNN,0.8571428571428571,0.7338935574229691,0.7282913165266106,0.6275862068965518,5.495798319327731,5.8767507002801125,5.206896551724138
XGBoost,RandomForest,0.8431372549019608,0.7535014005602241,0.7170868347338936,0.5555555555555556,5.588235294117647,6.117647058823529,5.611111111111111
XGBoost,XGBoost,0.8431372549019608,0.7535014005602241,0.7170868347338936,0.5555555555555556,5.448179271708684,6.1344537815126055,5.6875
XGBoost,CatBoost,0.8431372549019608,0.7535014005602241,0.7086834733893558,0.5208333333333334,5.4789915966386555,6.187675070028011,5.611111111111111
XGBoost,SVM,0.8431372549019608,0.7535014005602241,0.7198879551820728,0.5416666666666666,5.644257703081233,6.8011204481792715,5.854166666666667
XGBoost,Linear,0.8431372549019608,0.7535014005602241,0.7170868347338936,0.5486111111111112,6.086834733893557,7.512605042016807,6.430555555555555
XGBoost,Ridge,0.8431372549019608,0.7535014005602241,0.7142857142857143,0.5625,6.019607843137255,7.473389355742297,6.451388888888889
XGBoost,GradientBoosting,0.8431372549019608,0.7535014005602241,0.7282913165266106,0.5763888888888888,5.408963585434174,6.288515406162465,5.319444444444445
XGBoost,KNN,0.8431372549019608,0.7535014005602241,0.7142857142857143,0.5347222222222222,5.582633053221288,5.977591036414566,5.222222222222222
CatBoost,RandomForest,0.8543417366946778,0.7142857142857143,0.7030812324929971,0.581081081081081,5.65546218487395,6.2296918767507,5.851351351351352
CatBoost,XGBoost,0.8543417366946778,0.7142857142857143,0.6974789915966386,0.5675675675675675,5.526610644257703,6.23249299719888,5.783783783783784
CatBoost,CatBoost,0.8543417366946778,0.7142857142857143,0.7030812324929971,0.5540540540540541,5.476190476190476,6.176470588235294,5.614864864864865
CatBoost,SVM,0.8543417366946778,0.7142857142857143,0.6974789915966386,0.5608108108108109,5.666666666666667,6.57703081232493,6.0675675675675675
CatBoost,Linear,0.8543417366946778,0.7142857142857143,0.7086834733893558,0.5337837837837838,6.212885154061625,7.364145658263305,6.466216216216216
CatBoost,Ridge,0.8543417366946778,0.7142857142857143,0.7086834733893558,0.5405405405405406,6.151260504201681,7.336134453781512,6.452702702702703
CatBoost,GradientBoosting,0.8543417366946778,0.7142857142857143,0.7030812324929971,0.5675675675675675,5.487394957983193,6.291316526610644,5.513513513513513
CatBoost,KNN,0.8543417366946778,0.7142857142857143,0.6918767507002801,0.5540540540540541,5.546218487394958,5.8879551820728295,5.351351351351352
SVM,RandomForest,0.8151260504201681,0.7338935574229691,0.7086834733893558,0.5571428571428572,5.700280112044818,6.57422969187675,5.757142857142857
SVM,XGBoost,0.8151260504201681,0.7338935574229691,0.711484593837535,0.5642857142857143,5.551820728291316,6.546218487394958,5.7785714285714285
SVM,CatBoost,0.8151260504201681,0.7338935574229691,0.7086834733893558,0.5571428571428572,5.582633053221288,6.591036414565826,5.707142857142857
SVM,SVM,0.8151260504201681,0.7338935574229691,0.711484593837535,0.5428571428571428,5.7254901960784315,7.103641456582633,5.871428571428571
SVM,Linear,0.8151260504201681,0.7338935574229691,0.7170868347338936,0.55,6.257703081232493,7.795518207282913,6.371428571428571
SVM,Ridge,0.8151260504201681,0.7338935574229691,0.7170868347338936,0.55,6.2100840336134455,7.781512605042017,6.4
SVM,GradientBoosting,0.8151260504201681,0.7338935574229691,0.7058823529411765,0.5785714285714286,5.484593837535014,6.680672268907563,5.564285714285714
SVM,KNN,0.8151260504201681,0.7338935574229691,0.711484593837535,0.5642857142857143,5.812324929971989,6.282913165266106,5.421428571428572
Linear,RandomForest,0.6694677871148459,0.6274509803921569,0.6190476190476191,0.48148148148148145,6.341736694677871,8.221288515406162,6.101851851851852
Linear,XGBoost,0.6694677871148459,0.6274509803921569,0.6134453781512605,0.4351851851851852,6.271708683473389,8.27170868347339,6.314814814814815
Linear,CatBoost,0.6694677871148459,0.6274509803921569,0.6106442577030813,0.4537037037037037,6.238095238095238,8.27450980392157,5.925925925925926
Linear,SVM,0.6694677871148459,0.6274509803921569,0.6050420168067226,0.4351851851851852,6.428571428571429,8.991596638655462,6.7407407407407405
Linear,Linear,0.6694677871148459,0.6274509803921569,0.6022408963585434,0.37037037037037035,6.9411764705882355,8.767507002801121,6.851851851851852
Linear,Ridge,0.6694677871148459,0.6274509803921569,0.5994397759103641,0.37037037037037035,6.915966386554622,8.711484593837534,6.787037037037037
Linear,GradientBoosting,0.6694677871148459,0.6274509803921569,0.6134453781512605,0.48148148148148145,6.224089635854342,8.246498599439775,5.888888888888889
Linear,KNN,0.6694677871148459,0.6274509803921569,0.6022408963585434,0.5092592592592593,6.484593837535014,8.022408963585434,5.805555555555555
Ridge,RandomForest,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5932203389830508,6.081232492997199,7.3165266106442575,5.822033898305085
Ridge,XGBoost,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5508474576271186,5.879551820728292,7.212885154061625,6.02542372881356
Ridge,CatBoost,0.7254901960784313,0.7170868347338936,0.6778711484593838,0.5423728813559322,5.775910364145658,7.240896358543417,5.610169491525424
Ridge,SVM,0.7254901960784313,0.7170868347338936,0.6834733893557423,0.5254237288135594,6.050420168067227,8.103641456582633,6.093220338983051
Ridge,Linear,0.7254901960784313,0.7170868347338936,0.6862745098039216,0.5423728813559322,6.624649859943977,8.330532212885155,6.228813559322034
Ridge,Ridge,0.7254901960784313,0.7170868347338936,0.6862745098039216,0.5423728813559322,6.565826330532213,8.296918767507004,6.245762711864407
Ridge,GradientBoosting,0.7254901960784313,0.7170868347338936,0.6834733893557423,0.5677966101694916,5.966386554621849,7.1988795518207285,5.52542372881356
Ridge,KNN,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5932203389830508,5.935574229691877,7.3277310924369745,5.576271186440678
GradientBoosting,RandomForest,0.8571428571428571,0.7198879551820728,0.7002801120448179,0.6164383561643836,5.658263305322129,6.215686274509804,5.821917808219178
GradientBoosting,XGBoost,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5547945205479452,5.470588235294118,6.137254901960785,5.835616438356165
GradientBoosting,CatBoost,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5616438356164384,5.4677871148459385,6.128851540616247,5.732876712328767
GradientBoosting,SVM,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5616438356164384,5.705882352941177,6.526610644257703,5.917808219178082
GradientBoosting,Linear,0.8571428571428571,0.7198879551820728,0.7142857142857143,0.5958904109589042,6.11484593837535,7.4145658263305325,6.554794520547945
GradientBoosting,Ridge,0.8571428571428571,0.7198879551820728,0.7086834733893558,0.5821917808219178,6.042016806722689,7.383753501400561,6.52054794520548
GradientBoosting,GradientBoosting,0.8571428571428571,0.7198879551820728,0.711484593837535,0.589041095890411,5.434173669467787,6.277310924369748,5.513698630136986
GradientBoosting,KNN,0.8571428571428571,0.7198879551820728,0.6890756302521008,0.5684931506849316,5.647058823529412,5.904761904761905,5.301369863013699
KNN,RandomForest,0.8151260504201681,0.6834733893557423,0.7058823529411765,0.6115107913669064,5.61344537815126,6.4677871148459385,5.597122302158273
KNN,XGBoost,0.8151260504201681,0.6834733893557423,0.711484593837535,0.6115107913669064,5.470588235294118,6.380952380952381,5.633093525179856
KNN,CatBoost,0.8151260504201681,0.6834733893557423,0.7086834733893558,0.6187050359712231,5.484593837535014,6.380952380952381,5.58273381294964
KNN,SVM,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.60431654676259,5.627450980392157,6.851540616246498,6.0359712230215825
KNN,Linear,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.5899280575539568,6.26890756302521,7.616246498599439,6.597122302158273
KNN,Ridge,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.60431654676259,6.182072829131653,7.571428571428571,6.489208633093525
KNN,GradientBoosting,0.8151260504201681,0.6834733893557423,0.711484593837535,0.6258992805755396,5.431372549019608,6.5322128851540615,5.424460431654676
KNN,KNN,0.8151260504201681,0.6834733893557423,0.7030812324929971,0.6330935251798561,5.739495798319328,6.249299719887955,5.0503597122302155
